Cucina Paradiso- Oak Park, Illinois
Sushi Roku- Santa Monica, California
Zuni Café – San Francisco, California
Ruth's Chris Steak House – Kansas City, Missouri
Taquería El Paisita – Austin, Texas
Blue Colony Diner- Newtown, Connecticut
Frederica Pizza And Pasta House- Frederica, Delaware
The Grumpy Troll Brew Pub- Mount Horeb, Wisconsin
Bread & Cie.- New Orleans, Louisiana
Auntie Anne's Pretzel Kitchen- St. Louis, Missouri
Café Nola- Defuniak Springs, Florida
Rainbow Drive-In- Honolulu, Hawaii
