King Tut Drive-In- Beckley, West Virginia
Mama's On Washington Square – San Francisco, California
Papa Joe's-Philadelphia, Pennsylvania
Jimmy's Down The Street- Coeur d'Alene, Idaho
Skillet Diner- Seattle, Washington
Old Route 66 Family Restaurant- Dwight, Illinois
The Roanoker- Roanoke, Virginia
Historic Steer-In- Indianapolis, Indiana
The Penny Cluse Cafe- Burlington, Vermont
Breitbach's Country Dining- Balltown, Iowa
Dixie Chicken & Ribs- New Orleans, Louisiana
Hattie's Kitchen- Greenville, Mississippi
